frame,left_shoulder_angle,right_shoulder_angle,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle,hip_rotation,spine_lean,stance_width_normalized,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_wrist_dx,left_wrist_dy,right_wrist_dx,right_wrist_dy,left_wrist_speed,right_wrist_speed,combined_wrist_speed
0,9.76317396368234,6.295427249622166,167.36994785058678,144.22045249319203,160.12813956298143,165.5210300272449,-3.681564736891829,4.760519427016087,3.1625906096516854,0.4490106999874115,0.4284583330154419,0.39733487367630005,0.46289604902267456,,,,,,,
1,9.514381134749375,6.461186920739489,168.09109658513265,144.68525167644069,160.2031049561908,165.56742913603185,-2.9431059084105584,4.884234321608808,3.1843929871999554,0.448153555393219,0.43014511466026306,0.3972877264022827,0.4625387489795685,-0.0008571445941925049,0.001686781644821167,-4.7147274017333984e-05,-0.0003573000431060791,0.04556680755842857,0.008679463238191649,0.027123135398310107
2,9.404739196978513,6.553990206218962,168.91472390689515,144.96145273682095,160.18379604696878,165.68080872218127,-2.070756077558599,4.942761701547129,3.1958025552878864,0.4473852217197418,0.43085163831710815,0.39728835225105286,0.461920827627182,-0.0007683336734771729,0.0007065236568450928,6.258487701416016e-07,-0.0006179213523864746,0.02513781099446898,0.014881434968418235,0.020009622981443608
3,9.323441027573434,6.608079238859949,169.11535374957717,145.06527561412943,160.1713702837264,165.74750174755192,-1.3529934425586987,4.977521890304482,3.2024663234352997,0.4471183717250824,0.43119871616363525,0.39729341864585876,0.4614221453666687,-0.00026684999465942383,0.0003470778465270996,5.066394805908203e-06,-0.0004986822605133057,0.01054364238931438,0.012010406787148827,0.011277024588231602
4,9.271050924534078,6.641326533464912,169.20227680508384,145.06040326516273,160.19742056723177,165.8797332473011,-0.7283171280702447,5.011059953914593,3.2029227737708945,0.4470677673816681,0.4312388598918915,0.3972927927970886,0.4606128931045532,-5.060434341430664e-05,4.0143728256225586e-05,-6.258487701416016e-07,-0.0008092522621154785,0.0015556077988267876,0.0194892639486995,0.010522435873763144
5,9.234720036999098,6.655561483099735,169.27997485815217,145.02941246493933,160.24461235988878,165.91618927198064,-0.30870276090701054,5.0364594215314,3.2026487016692,0.4470018446445465,0.43125975131988525,0.3972916603088379,0.4600863754749298,-6.592273712158203e-05,2.0891427993774414e-05,-1.1324882507324219e-06,-0.0005265176296234131,0.001665435944206245,0.012680176757900416,0.00717280635105333
6,9.192921987332745,6.685922234840467,169.0250944892347,144.62067204245716,160.51859738764898,166.0931032321235,0.5490480912248756,5.105322730590186,3.200998467024603,0.44706109166145325,0.43122386932373047,0.39710333943367004,0.45760855078697205,5.924701690673828e-05,-3.5881996154785156e-05,-0.00018832087516784668,-0.0024778246879577637,0.001668127093519955,0.05984566227775659,0.030756894685638272
7,9.151668005323359,6.691084849634775,168.90077931991198,144.60898177904022,160.68873641749389,166.15666484526992,1.0127177968955436,5.144853903068183,3.200876985635826,0.4470740854740143,0.4311939775943756,0.3970561623573303,0.45692795515060425,1.2993812561035156e-05,-2.98917293548584e-05,-4.717707633972168e-05,-0.0006805956363677979,0.0007849575062357368,0.016430145764223424,0.00860755163522958
8,9.107037635969814,6.68065168826923,168.889260886916,144.23413505813008,160.8644307789806,166.27059480605507,0.7161021368050342,5.239637138969731,3.197280122690962,0.44693106412887573,0.4310310184955597,0.3970068097114563,0.4552353322505951,-0.0001430213451385498,-0.00016295909881591797,-4.935264587402344e-05,-0.0016926229000091553,0.005221677937437108,0.040780836436286126,0.023001257186861617
9,9.15087657822536,6.610382882368405,169.24760029578425,144.0779372088077,161.00622593899132,166.31382489813177,0.8871317887724501,5.299286720428903,3.193691621871045,0.4466758966445923,0.43044987320899963,0.39699241518974304,0.4539872109889984,-0.00025516748428344727,-0.0005811452865600586,-1.4394521713256836e-05,-0.0012481212615966797,0.015285436139903918,0.030060558662191803,0.022672997401047862
10,9.184481122419216,6.544143585970466,169.68322492933348,143.87846264497074,161.2524657781233,166.2984804879332,0.35908066997936317,5.409247965251184,3.1922965797351415,0.44632625579833984,0.42967599630355835,0.3968273997306824,0.4524020254611969,-0.0003496408462524414,-0.0007738769054412842,-0.00016501545906066895,-0.0015851855278015137,0.02045122974883763,0.03838238364459876,0.029416806696718194
11,9.207342505172692,6.4409089654990055,169.5803687066908,143.80847532279623,161.5330218359793,166.2782507306694,-0.6497656634186626,5.500167546759632,3.1822619752551184,0.4463445544242859,0.427743524312973,0.39670899510383606,0.4507863223552704,1.8298625946044922e-05,-0.0019324719905853271,-0.00011840462684631348,-0.0016157031059265137,0.046541895047832106,0.039015395427115775,0.04277864523747394
12,9.257803656212596,6.428121028331494,169.73865198972763,143.909684455721,161.82976493115476,166.35915185516978,0.11760161206470343,5.602603325627199,3.190777525752254,0.4462806284427643,0.4262353777885437,0.3965308964252472,0.4493345320224762,-6.392598152160645e-05,-0.0015081465244293213,-0.0001780986785888672,-0.0014517903327941895,0.03635337316070752,0.03522563523590445,0.03578950419830598
13,9.199706322741338,6.436812404581604,169.61775622207932,144.2462945635901,162.11171559120672,166.52808555627064,-0.0992650022451187,5.670129299650464,3.201002806549699,0.446289598941803,0.4245716631412506,0.3962588310241699,0.4478265345096588,8.970499038696289e-06,-0.0016637146472930908,-0.0002720654010772705,-0.0015079975128173828,0.04006789605488255,0.03690349237989854,0.038485694217390544
