frame,left_shoulder_angle,right_shoulder_angle,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle,hip_rotation,spine_lean,stance_width_normalized,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_wrist_dx,left_wrist_dy,right_wrist_dx,right_wrist_dy,left_wrist_speed,right_wrist_speed,combined_wrist_speed
0,18.987289657814134,13.75717070193171,155.85763754428575,149.81283189167604,158.09006724084344,160.8257945716425,-10.277720630226403,-6.770799440768522,1.1208051141387723,0.5635709762573242,0.6687355041503906,0.57989901304245,0.6675133109092712,,,,,,,
1,19.25573020302698,11.90935033121505,154.10703320458055,147.70875362038518,157.03657429082645,161.0125581130865,-9.764017366808673,-7.046184843225175,1.0966598899838835,0.5631932020187378,0.668346643447876,0.5818354487419128,0.6683604717254639,-0.0003777742385864258,-0.00038886070251464844,0.0019364356994628906,0.000847160816192627,0.013234377394761677,0.05159588429253856,0.032415130843650115
2,19.5820537070529,12.277716825493325,153.21357979688196,148.38255802557367,155.0188491398937,160.8015027652665,-8.038422909764995,-7.222279675949793,0.8930366110371954,0.5628539323806763,0.6679540872573853,0.581259548664093,0.6683547496795654,-0.00033926963806152344,-0.00039255619049072266,-0.0005759000778198242,-5.7220458984375e-06,0.012665590806333447,0.014058955946271589,0.013362273376302518
3,20.402891587713274,13.968970623915023,153.1199414865916,150.54630285440936,153.4399070516305,160.21859100359072,-6.200836808864317,-7.3998609811441645,0.7509675958912969,0.5617913007736206,0.6674216985702515,0.5787152051925659,0.6683523654937744,-0.001062631607055664,-0.0005323886871337891,-0.0025443434715270996,-2.384185791015625e-06,0.02901334036469957,0.062109842193134916,0.04556159127891724
4,21.123349336156167,21.14047341422444,153.70085251606272,159.17823762557694,153.12298868517544,160.45681506426146,-5.882865895542061,-7.579501928080533,0.6974223619792442,0.5613651871681213,0.6674271821975708,0.5724259614944458,0.6664589643478394,-0.0004261136054992676,5.4836273193359375e-06,-0.006289243698120117,-0.0018934011459350586,0.010402694791822258,0.16033278019352995,0.08536773749267611
5,21.99396358917668,21.67528172232652,153.782666513159,157.2495373073602,153.6393316029868,160.37282175529322,-7.3276316917968884,-7.603050393349634,0.6792205358201315,0.5600248575210571,0.6669979691505432,0.569839596748352,0.6666204333305359,-0.001340329647064209,-0.0004292130470275879,-0.00258636474609375,0.0001614689826965332,0.034355372306578126,0.06325851310943525,0.04880694270800669
6,22.83078446269456,21.635046601329417,154.40385333764868,156.3512136601916,153.70877229123136,160.36470485375122,-8.256866600035014,-7.618724572307876,0.6714048872529399,0.5591031312942505,0.666689932346344,0.5693095922470093,0.6667857766151428,-0.0009217262268066406,-0.00030803680419921875,-0.0005300045013427734,0.0001653432846069336,0.023723438722047047,0.01355286868454579,0.01863815370329642
7,23.890798663751255,22.526495788534746,153.6318293511277,156.50119595198143,154.4933989003975,160.27354640593524,-8.935479449777425,-7.634871109681579,0.6618977923221734,0.5563904643058777,0.6662061810493469,0.567865788936615,0.6662017107009888,-0.0027126669883728027,-0.0004837512969970703,-0.0014438033103942871,-0.0005840659141540527,0.06726344614326564,0.03801921362240581,0.05264132988283572
8,24.810498525221018,24.587755926651965,154.0107406078186,158.75591344222389,155.58156614783755,160.25185862922964,-7.887482546019777,-7.5025875224615985,0.7190624341094922,0.5554651618003845,0.6649664044380188,0.5663140416145325,0.6647680401802063,-0.0009253025054931641,-0.001239776611328125,-0.0015517473220825195,-0.0014336705207824707,0.03776389541486092,0.05157200788690221,0.04466795165088157
9,25.86556176971197,25.070114797117302,152.8022831819475,158.20310927539157,157.21954265820705,160.2510285336826,-2.6880542481838354,-7.483720123846979,0.767359642639916,0.5527355670928955,0.6638086438179016,0.5655345320701599,0.6637738347053528,-0.0027295947074890137,-0.0011577606201171875,-0.0007795095443725586,-0.0009942054748535156,0.07237790881084513,0.030839815981175935,0.051608862396010535
